model_type,use_momentum,method,init_method,lr,cv_mse,cv_r2
polynomial,True,sto,zero,0.01,6.689391936936254e+78,-1.1285009617665964e+79
polynomial,True,sto,zero,0.001,0.47628790758849643,0.18314591999489838
polynomial,True,sto,zero,0.0001,58.96854587091506,-99.8337687461421
polynomial,True,sto,xavier,0.01,3.5700081217441405e+86,-6.097949444587671e+86
polynomial,True,sto,xavier,0.001,0.48353933865247495,0.17100109804507624
polynomial,True,sto,xavier,0.0001,58.88850599954855,-99.69600055122078
polynomial,True,mini,zero,0.01,0.36912907668045025,0.3677196645320131
polynomial,True,mini,zero,0.001,21.37277469887543,-35.55381526310148
polynomial,True,mini,zero,0.0001,134.89535348646743,-229.6490210009961
polynomial,True,mini,xavier,0.01,0.32404192652687885,0.44476503057293176
polynomial,True,mini,xavier,0.001,21.30399520851626,-35.43630018125663
polynomial,True,mini,xavier,0.0001,134.3020951806088,-228.63455950165317
polynomial,True,batch,zero,0.01,36.618468045039755,-61.62094489279898
polynomial,True,batch,zero,0.001,142.43388226990086,-242.53802218907728
polynomial,True,batch,zero,0.0001,163.57195036200946,-278.67829525137887
polynomial,True,batch,xavier,0.01,36.815205661197744,-61.955172969785735
polynomial,True,batch,xavier,0.001,142.04071722041363,-241.8550658825848
polynomial,True,batch,xavier,0.0001,163.6251095491792,-278.7452380013128
